equipo_h,equipo_a,elo_h,elo_a,lambda_h,lambda_a,p_victoria_h,p_empate,p_victoria_a,marcador_mp,prob_mp
Saudi Arabia,Switzerland,1568,1889,0.953,1.72,20.8,23.8,55.2,0-1,11.88
Saudi Arabia,Tunisia,1568,1636,1.203,1.363,33.0,26.5,40.5,1-1,12.6
Saudi Arabia,Turkey,1568,1902,0.942,1.741,20.2,23.6,56.0,0-1,11.91
Saudi Arabia,United States,1568,1721,1.112,1.474,28.6,26.0,45.4,1-1,12.35
Saudi Arabia,Uruguay,1568,1892,0.95,1.725,20.6,23.7,55.4,0-1,11.88
Saudi Arabia,Uzbekistan,1568,1727,1.106,1.482,28.3,25.9,45.7,1-1,12.32
Scotland,Algeria,1767,1743,1.309,1.252,38.0,26.6,35.3,1-1,12.66
Scotland,Argentina,1767,2113,0.931,1.76,19.7,23.4,56.7,0-1,11.93
Scotland,Australia,1767,1783,1.262,1.299,35.8,26.6,37.5,1-1,12.66
Scotland,Austria,1767,1827,1.211,1.353,33.4,26.5,40.0,1-1,12.61
Scotland,Belgium,1767,1867,1.168,1.404,31.3,26.3,42.3,1-1,12.53
Scotland,Bosnia and Herzegovina,1767,1594,1.501,1.092,46.5,25.8,27.6,1-1,12.26
Scotland,Brazil,1767,1984,1.049,1.563,25.4,25.3,49.1,1-1,12.03
Scotland,Canada,1767,1784,1.26,1.3,35.7,26.6,37.6,1-1,12.66
Scotland,Cape Verde,1767,1549,1.565,1.048,49.2,25.3,25.4,1-1,12.03
Scotland,Colombia,1767,1975,1.057,1.55,25.9,25.4,48.6,1-1,12.08
Scotland,Croatia,1767,1930,1.102,1.487,28.1,25.9,46.0,1-1,12.3
Scotland,Curaçao,1767,1436,1.736,0.944,55.8,23.6,20.3,1-0,11.9
Scotland,Czech Republic,1767,1726,1.329,1.233,38.9,26.6,34.4,1-1,12.64
Scotland,DR Congo,1767,1655,1.419,1.155,43.0,26.3,30.6,1-1,12.49
Scotland,Ecuador,1767,1933,1.099,1.491,27.9,25.8,46.1,1-1,12.29
Scotland,Egypt,1767,1689,1.375,1.192,41.0,26.5,32.4,1-1,12.58
Scotland,England,1767,2020,1.014,1.616,23.8,24.8,51.2,1-1,11.81
Scotland,France,1767,2081,0.959,1.709,21.1,23.9,54.8,0-1,11.86
Scotland,Germany,1767,1923,1.109,1.478,28.4,25.9,45.6,1-1,12.33
Scotland,Ghana,1767,1503,1.632,1.004,51.9,24.7,23.3,1-1,11.74
Scotland,Haiti,1767,1532,1.589,1.031,50.2,25.1,24.6,1-1,11.93
Scotland,Iran,1767,1760,1.289,1.272,37.0,26.6,36.3,1-1,12.66
Scotland,Iraq,1767,1607,1.483,1.105,45.8,25.9,28.2,1-1,12.32
Scotland,Ivory Coast,1767,1676,1.392,1.177,41.8,26.4,31.7,1-1,12.55
Scotland,Japan,1767,1904,1.129,1.452,29.4,26.1,44.4,1-1,12.41
Scotland,Jordan,1767,1690,1.374,1.193,41.0,26.5,32.5,1-1,12.58
Scotland,Mexico,1767,1860,1.175,1.395,31.6,26.4,41.9,1-1,12.55
Scotland,Morocco,1767,1822,1.217,1.347,33.6,26.5,39.7,1-1,12.62
Scotland,Netherlands,1767,1961,1.071,1.53,26.5,25.6,47.8,1-1,12.16
Scotland,New Zealand,1767,1585,1.514,1.083,47.1,25.7,27.1,1-1,12.22
Scotland,Norway,1767,1912,1.12,1.463,29.0,26.0,44.9,1-1,12.38
Scotland,Panama,1767,1737,1.316,1.245,38.3,26.6,35.0,1-1,12.65
Scotland,Paraguay,1767,1833,1.205,1.36,33.1,26.5,40.4,1-1,12.6
Scotland,Portugal,1767,1984,1.049,1.563,25.4,25.3,49.1,1-1,12.03
Scotland,Qatar,1767,1425,1.754,0.935,56.4,23.4,19.9,1-0,11.92
Scotland,Saudi Arabia,1767,1568,1.537,1.066,48.1,25.5,26.3,1-1,12.13
Scotland,Senegal,1767,1878,1.156,1.418,30.7,26.3,42.9,1-1,12.5
Scotland,South Africa,1767,1524,1.601,1.024,50.7,25.0,24.2,1-1,11.88
Scotland,South Korea,1767,1752,1.298,1.263,37.5,26.6,35.8,1-1,12.66
Scotland,Spain,1767,2165,0.888,1.846,17.6,22.4,59.7,0-1,11.99
Scotland,Sweden,1767,1719,1.338,1.225,39.3,26.6,34.0,1-1,12.63
Scotland,Switzerland,1767,1889,1.144,1.432,30.1,26.2,43.6,1-1,12.46
Scotland,Tunisia,1767,1636,1.444,1.135,44.1,26.1,29.7,1-1,12.43
Scotland,Turkey,1767,1902,1.131,1.45,29.5,26.1,44.3,1-1,12.42
Scotland,United States,1767,1721,1.336,1.227,39.2,26.6,34.1,1-1,12.64
Scotland,Uruguay,1767,1892,1.141,1.436,30.0,26.2,43.8,1-1,12.45
Scotland,Uzbekistan,1767,1727,1.328,1.234,38.9,26.6,34.5,1-1,12.64
Senegal,Algeria,1878,1743,1.45,1.131,44.3,26.1,29.5,1-1,12.42
Senegal,Argentina,1878,2113,1.031,1.589,24.6,25.1,50.2,1-1,11.93
Senegal,Australia,1878,1783,1.397,1.173,42.0,26.4,31.5,1-1,12.54
Senegal,Austria,1878,1827,1.342,1.222,39.5,26.6,33.9,1-1,12.63
Senegal,Belgium,1878,1867,1.293,1.267,37.3,26.6,36.0,1-1,12.66
Senegal,Bosnia and Herzegovina,1878,1594,1.663,0.986,53.1,24.4,22.4,1-0,11.76
Senegal,Brazil,1878,1984,1.161,1.411,31.0,26.3,42.7,1-1,12.51
Senegal,Canada,1878,1784,1.396,1.174,42.0,26.4,31.6,1-1,12.54
Senegal,Cape Verde,1878,1549,1.733,0.946,55.7,23.7,20.4,1-0,11.9
Senegal,Colombia,1878,1975,1.171,1.4,31.4,26.4,42.1,1-1,12.54
Senegal,Croatia,1878,1930,1.22,1.343,33.8,26.6,39.6,1-1,12.63
Senegal,Curaçao,1878,1436,1.923,0.852,62.1,21.5,16.0,1-0,11.99
Senegal,Czech Republic,1878,1726,1.472,1.113,45.3,26.0,28.6,1-1,12.35
Senegal,DR Congo,1878,1655,1.572,1.043,49.5,25.2,25.2,1-1,12.0
Senegal,Ecuador,1878,1933,1.217,1.347,33.6,26.5,39.7,1-1,12.62
Senegal,Egypt,1878,1689,1.523,1.076,47.5,25.6,26.8,1-1,12.18
Senegal,England,1878,2020,1.123,1.459,29.1,26.1,44.7,1-1,12.39
Senegal,France,1878,2081,1.062,1.543,26.1,25.5,48.3,1-1,12.11
Senegal,Germany,1878,1923,1.228,1.334,34.2,26.6,39.2,1-1,12.64
Senegal,Ghana,1878,1503,1.808,0.907,58.4,22.8,18.5,1-0,11.98
Senegal,Haiti,1878,1532,1.76,0.931,56.7,23.4,19.7,1-0,11.93
Senegal,Iran,1878,1760,1.427,1.149,43.3,26.2,30.3,1-1,12.47
Senegal,Iraq,1878,1607,1.643,0.998,52.3,24.6,23.0,1-0,11.72
Senegal,Ivory Coast,1878,1676,1.542,1.063,48.2,25.5,26.2,1-1,12.11
Senegal,Japan,1878,1904,1.25,1.311,35.2,26.6,38.1,1-1,12.66
Senegal,Jordan,1878,1690,1.522,1.077,47.4,25.6,26.8,1-1,12.19
Senegal,Mexico,1878,1860,1.302,1.259,37.6,26.6,35.7,1-1,12.66
Senegal,Morocco,1878,1822,1.348,1.216,39.8,26.5,33.6,1-1,12.62
Senegal,Netherlands,1878,1961,1.186,1.382,32.2,26.4,41.3,1-1,12.57
Senegal,New Zealand,1878,1585,1.676,0.978,53.6,24.2,22.0,1-0,11.8
Senegal,Norway,1878,1912,1.241,1.321,34.8,26.6,38.5,1-1,12.65
Senegal,Panama,1878,1737,1.458,1.124,44.7,26.1,29.2,1-1,12.39
Senegal,Paraguay,1878,1833,1.334,1.228,39.2,26.6,34.2,1-1,12.64
Senegal,Portugal,1878,1984,1.161,1.411,31.0,26.3,42.7,1-1,12.51
Senegal,Qatar,1878,1425,1.942,0.844,62.8,21.3,15.6,1-0,11.98
Senegal,Saudi Arabia,1878,1568,1.703,0.963,54.6,24.0,21.2,1-0,11.85
Senegal,Scotland,1878,1767,1.418,1.156,42.9,26.3,30.7,1-1,12.5
Senegal,South Africa,1878,1524,1.773,0.924,57.1,23.2,19.4,1-0,11.95
Senegal,South Korea,1878,1752,1.438,1.14,43.8,26.2,29.9,1-1,12.45
Senegal,Spain,1878,2165,0.983,1.667,22.2,24.3,53.2,0-1,11.78
Senegal,Sweden,1878,1719,1.482,1.106,45.7,25.9,28.3,1-1,12.32
Senegal,Switzerland,1878,1889,1.267,1.293,36.0,26.6,37.3,1-1,12.66
Senegal,Tunisia,1878,1636,1.599,1.025,50.6,25.0,24.3,1-1,11.88
Senegal,Turkey,1878,1902,1.252,1.309,35.3,26.6,38.0,1-1,12.66
Senegal,United States,1878,1721,1.479,1.108,45.6,25.9,28.4,1-1,12.33
Senegal,Uruguay,1878,1892,1.264,1.297,35.9,26.6,37.4,1-1,12.66
Senegal,Uzbekistan,1878,1727,1.471,1.114,45.3,26.0,28.7,1-1,12.35
South Africa,Algeria,1524,1743,1.047,1.566,25.3,25.3,49.2,1-1,12.02
South Africa,Argentina,1524,2113,0.745,2.201,11.2,18.1,69.9,0-2,12.73
South Africa,Australia,1524,1783,1.009,1.625,23.5,24.8,51.6,1-1,11.77
South Africa,Austria,1524,1827,0.969,1.692,21.5,24.1,54.2,0-1,11.83
South Africa,Belgium,1524,1867,0.934,1.755,19.8,23.4,56.5,0-1,11.93
South Africa,Bosnia and Herzegovina,1524,1594,1.2,1.365,32.8,26.5,40.6,1-1,12.6
South Africa,Brazil,1524,1984,0.838,1.955,15.4,21.1,63.1,0-1,11.97
South Africa,Canada,1524,1784,1.008,1.626,23.4,24.7,51.7,1-1,11.77
South Africa,Cape Verde,1524,1549,1.251,1.31,35.3,26.6,38.0,1-1,12.66
South Africa,Colombia,1524,1975,0.845,1.939,15.7,21.3,62.6,0-1,11.98
South Africa,Croatia,1524,1930,0.881,1.86,17.3,22.2,60.1,0-1,12.0
South Africa,Curaçao,1524,1436,1.388,1.181,41.6,26.4,31.9,1-1,12.56
South Africa,Czech Republic,1524,1726,1.063,1.542,26.2,25.5,48.2,1-1,12.11
South Africa,DR Congo,1524,1655,1.135,1.444,29.7,26.1,44.1,1-1,12.43
South Africa,Ecuador,1524,1933,0.879,1.865,17.2,22.2,60.3,0-1,12.0
South Africa,Egypt,1524,1689,1.1,1.49,28.0,25.9,46.1,1-1,12.3
South Africa,England,1524,2020,0.811,2.021,14.1,20.3,65.1,0-2,12.03
South Africa,France,1524,2081,0.767,2.137,12.2,18.9,68.3,0-2,12.51
South Africa,Germany,1524,1923,0.887,1.848,17.6,22.4,59.7,0-1,11.99
South Africa,Ghana,1524,1503,1.305,1.256,37.8,26.6,35.5,1-1,12.66
South Africa,Haiti,1524,1532,1.271,1.29,36.2,26.6,37.1,1-1,12.66
South Africa,Iran,1524,1760,1.03,1.591,24.6,25.1,50.2,1-1,11.92
South Africa,Iraq,1524,1607,1.186,1.382,32.2,26.4,41.3,1-1,12.57
South Africa,Ivory Coast,1524,1676,1.113,1.472,28.6,26.0,45.3,1-1,12.35
South Africa,Japan,1524,1904,0.903,1.816,18.4,22.7,58.6,0-1,11.98
South Africa,Jordan,1524,1690,1.099,1.491,27.9,25.8,46.1,1-1,12.29
South Africa,Mexico,1524,1860,0.94,1.744,20.1,23.5,56.1,0-1,11.91
South Africa,Morocco,1524,1822,0.973,1.684,21.8,24.2,53.9,0-1,11.81
South Africa,Netherlands,1524,1961,0.856,1.914,16.2,21.6,61.9,0-1,11.99
South Africa,New Zealand,1524,1585,1.21,1.354,33.3,26.5,40.1,1-1,12.61
South Africa,Norway,1524,1912,0.896,1.829,18.0,22.6,59.1,0-1,11.99
South Africa,Panama,1524,1737,1.052,1.557,25.6,25.3,48.9,1-1,12.05
South Africa,Paraguay,1524,1833,0.963,1.701,21.3,24.0,54.5,0-1,11.84
South Africa,Portugal,1524,1984,0.838,1.955,15.4,21.1,63.1,0-1,11.97
South Africa,Qatar,1524,1425,1.402,1.169,42.2,26.3,31.3,1-1,12.53
South Africa,Saudi Arabia,1524,1568,1.229,1.333,34.2,26.6,39.1,1-1,12.64
South Africa,Scotland,1524,1767,1.024,1.601,24.2,25.0,50.7,1-1,11.88
South Africa,Senegal,1524,1878,0.924,1.773,19.4,23.2,57.1,0-1,11.95
South Africa,South Korea,1524,1752,1.038,1.579,24.9,25.2,49.8,1-1,11.97
South Africa,Spain,1524,2165,0.71,2.309,9.8,16.8,72.4,0-2,13.02
South Africa,Sweden,1524,1719,1.07,1.532,26.5,25.6,47.8,1-1,12.15
South Africa,Switzerland,1524,1889,0.915,1.791,18.9,23.0,57.8,0-1,11.96
South Africa,Tunisia,1524,1636,1.155,1.419,30.6,26.3,43.0,1-1,12.49
South Africa,Turkey,1524,1902,0.904,1.813,18.4,22.8,58.5,0-1,11.98
South Africa,United States,1524,1721,1.068,1.535,26.4,25.5,48.0,1-1,12.14
South Africa,Uruguay,1524,1892,0.913,1.796,18.8,23.0,58.0,0-1,11.97
South Africa,Uzbekistan,1524,1727,1.062,1.543,26.1,25.5,48.3,1-1,12.11
South Korea,Algeria,1752,1743,1.291,1.27,37.1,26.6,36.2,1-1,12.66
South Korea,Argentina,1752,2113,0.918,1.785,19.1,23.1,57.5,0-1,11.96
South Korea,Australia,1752,1783,1.244,1.317,34.9,26.6,38.4,1-1,12.65
South Korea,Austria,1752,1827,1.195,1.372,32.6,26.5,40.9,1-1,12.59
South Korea,Belgium,1752,1867,1.152,1.423,30.5,26.2,43.2,1-1,12.48
South Korea,Bosnia and Herzegovina,1752,1594,1.481,1.107,45.7,25.9,28.3,1-1,12.33
South Korea,Brazil,1752,1984,1.034,1.585,24.7,25.1,50.0,1-1,11.94
South Korea,Canada,1752,1784,1.243,1.318,34.9,26.6,38.4,1-1,12.65
South Korea,Cape Verde,1752,1549,1.543,1.062,48.3,25.5,26.1,1-1,12.11
South Korea,Colombia,1752,1975,1.043,1.572,25.2,25.2,49.5,1-1,12.0
South Korea,Croatia,1752,1930,1.087,1.508,27.3,25.7,46.8,1-1,12.24
South Korea,Curaçao,1752,1436,1.712,0.957,54.9,23.9,21.0,1-0,11.86
South Korea,Czech Republic,1752,1726,1.311,1.25,38.1,26.6,35.2,1-1,12.66
South Korea,DR Congo,1752,1655,1.4,1.171,42.1,26.4,31.4,1-1,12.54
South Korea,Ecuador,1752,1933,1.084,1.512,27.2,25.7,47.0,1-1,12.22
South Korea,Egypt,1752,1689,1.357,1.208,40.2,26.5,33.2,1-1,12.61
South Korea,England,1752,2020,1.0,1.638,23.1,24.6,52.1,1-1,11.71
South Korea,France,1752,2081,0.946,1.733,20.4,23.7,55.7,0-1,11.9
South Korea,Germany,1752,1923,1.094,1.498,27.7,25.8,46.4,1-1,12.27
South Korea,Ghana,1752,1503,1.61,1.018,51.0,24.9,23.9,1-1,11.84
South Korea,Haiti,1752,1532,1.567,1.046,49.3,25.3,25.3,1-1,12.02
South Korea,Iran,1752,1760,1.271,1.29,36.2,26.6,37.1,1-1,12.66
South Korea,Iraq,1752,1607,1.463,1.12,44.9,26.0,29.0,1-1,12.38
South Korea,Ivory Coast,1752,1676,1.373,1.194,40.9,26.5,32.5,1-1,12.59
South Korea,Japan,1752,1904,1.113,1.472,28.6,26.0,45.3,1-1,12.35
South Korea,Jordan,1752,1690,1.355,1.209,40.1,26.5,33.3,1-1,12.61
South Korea,Mexico,1752,1860,1.159,1.414,30.9,26.3,42.8,1-1,12.51
South Korea,Morocco,1752,1822,1.2,1.365,32.8,26.5,40.6,1-1,12.6
South Korea,Netherlands,1752,1961,1.056,1.552,25.8,25.4,48.7,1-1,12.08
South Korea,New Zealand,1752,1585,1.493,1.098,46.2,25.8,27.9,1-1,12.29
South Korea,Norway,1752,1912,1.105,1.483,28.2,25.9,45.8,1-1,12.32
South Korea,Panama,1752,1737,1.298,1.263,37.5,26.6,35.8,1-1,12.66
South Korea,Paraguay,1752,1833,1.188,1.379,32.3,26.4,41.2,1-1,12.57
South Korea,Portugal,1752,1984,1.034,1.585,24.7,25.1,50.0,1-1,11.94
South Korea,Qatar,1752,1425,1.73,0.948,55.6,23.7,20.5,1-0,11.89
South Korea,Saudi Arabia,1752,1568,1.516,1.081,47.2,25.7,27.0,1-1,12.21
South Korea,Scotland,1752,1767,1.263,1.298,35.8,26.6,37.5,1-1,12.66
South Korea,Senegal,1752,1878,1.14,1.438,29.9,26.2,43.8,1-1,12.45
South Korea,South Africa,1752,1524,1.579,1.038,49.8,25.2,24.9,1-1,11.97
South Korea,Spain,1752,2165,0.876,1.872,17.1,22.1,60.5,0-1,12.0
South Korea,Sweden,1752,1719,1.32,1.242,38.5,26.6,34.8,1-1,12.65
South Korea,Switzerland,1752,1889,1.129,1.452,29.4,26.1,44.4,1-1,12.41
South Korea,Tunisia,1752,1636,1.424,1.151,43.2,26.2,30.4,1-1,12.48
South Korea,Turkey,1752,1902,1.115,1.47,28.7,26.0,45.2,1-1,12.36
South Korea,United States,1752,1721,1.317,1.244,38.4,26.6,34.9,1-1,12.65
South Korea,Uruguay,1752,1892,1.126,1.456,29.2,26.1,44.6,1-1,12.4
South Korea,Uzbekistan,1752,1727,1.31,1.251,38.0,26.6,35.3,1-1,12.66
Spain,Algeria,2165,1743,1.888,0.868,61.0,21.9,16.7,1-0,12.0
Spain,Argentina,2165,2113,1.343,1.22,39.6,26.6,33.8,1-1,12.63
Spain,Australia,2165,1783,1.819,0.901,58.8,22.7,18.3,1-0,11.98
Spain,Austria,2165,1827,1.747,0.938,56.2,23.5,20.1,1-0,11.92
Spain,Belgium,2165,1867,1.684,0.973,53.9,24.2,21.8,1-0,11.81
Spain,Bosnia and Herzegovina,2165,1594,2.165,0.757,69.0,18.6,11.7,2-0,12.61
Spain,Brazil,2165,1984,1.512,1.084,47.0,25.7,27.2,1-1,12.22
Spain,Canada,2165,1784,1.818,0.902,58.7,22.7,18.3,1-0,11.98
Spain,Cape Verde,2165,1549,2.256,0.726,71.2,17.5,10.4,2-0,12.89
Spain,Colombia,2165,1975,1.525,1.075,47.5,25.6,26.7,1-1,12.18
Spain,Croatia,2165,1930,1.589,1.031,50.2,25.1,24.6,1-1,11.93
Spain,Curaçao,2165,1436,2.504,0.655,76.3,14.6,7.6,2-0,13.32
Spain,Czech Republic,2165,1726,1.917,0.855,62.0,21.5,16.1,1-0,11.99
Spain,DR Congo,2165,1655,2.047,0.801,65.9,20.0,13.6,2-0,12.15
Spain,Ecuador,2165,1933,1.585,1.034,50.0,25.1,24.7,1-1,11.94
Spain,Egypt,2165,1689,1.984,0.826,64.0,20.7,14.8,1-0,11.94
Spain,England,2165,2020,1.463,1.12,44.9,26.0,29.0,1-1,12.38
Spain,France,2165,2081,1.383,1.185,41.4,26.4,32.1,1-1,12.57
Spain,Germany,2165,1923,1.599,1.025,50.6,25.0,24.3,1-1,11.88
Spain,Ghana,2165,1503,2.354,0.696,73.4,16.3,9.2,2-0,13.12
Spain,Haiti,2165,1532,2.292,0.715,72.1,17.0,10.0,2-0,12.98
Spain,Iran,2165,1760,1.858,0.882,60.1,22.2,17.4,1-0,12.0
Spain,Iraq,2165,1607,2.139,0.766,68.4,18.9,12.1,2-0,12.52
Spain,Ivory Coast,2165,1676,2.008,0.816,64.7,20.5,14.3,2-0,11.96
Spain,Japan,2165,1904,1.628,1.007,51.7,24.7,23.4,1-1,11.76
Spain,Jordan,2165,1690,1.982,0.827,64.0,20.8,14.8,1-0,11.95
Spain,Mexico,2165,1860,1.695,0.967,54.3,24.1,21.5,1-0,11.83
Spain,Morocco,2165,1822,1.755,0.934,56.5,23.4,19.8,1-0,11.93
Spain,Netherlands,2165,1961,1.545,1.061,48.4,25.5,26.1,1-1,12.1
Spain,New Zealand,2165,1585,2.183,0.751,69.5,18.3,11.5,2-0,12.67
Spain,Norway,2165,1912,1.616,1.014,51.2,24.8,23.8,1-1,11.81
Spain,Panama,2165,1737,1.898,0.864,61.4,21.8,16.5,1-0,11.99
Spain,Paraguay,2165,1833,1.738,0.943,55.9,23.6,20.3,1-0,11.9
Spain,Portugal,2165,1984,1.512,1.084,47.0,25.7,27.2,1-1,12.22
Spain,Qatar,2165,1425,2.529,0.648,76.7,14.4,7.4,2-0,13.34
Spain,Saudi Arabia,2165,1568,2.217,0.739,70.3,17.9,11.0,2-0,12.78
Spain,Scotland,2165,1767,1.846,0.888,59.7,22.4,17.6,1-0,11.99
Spain,Senegal,2165,1878,1.667,0.983,53.2,24.3,22.2,1-0,11.78
Spain,South Africa,2165,1524,2.309,0.71,72.4,16.8,9.8,2-0,13.02
Spain,South Korea,2165,1752,1.872,0.876,60.5,22.1,17.1,1-0,12.0
Spain,Sweden,2165,1719,1.93,0.849,62.4,21.4,15.9,1-0,11.98
Spain,Switzerland,2165,1889,1.65,0.993,52.6,24.5,22.7,1-0,11.74
Spain,Tunisia,2165,1636,2.083,0.787,66.9,19.5,13.0,2-0,12.3
Spain,Turkey,2165,1902,1.631,1.005,51.8,24.7,23.3,1-1,11.75
Spain,United States,2165,1721,1.926,0.851,62.3,21.4,15.9,1-0,11.98
Spain,Uruguay,2165,1892,1.646,0.996,52.4,24.6,22.9,1-0,11.72
Spain,Uzbekistan,2165,1727,1.916,0.856,61.9,21.6,16.1,1-0,11.99
Sweden,Algeria,1719,1743,1.252,1.309,35.3,26.6,38.0,1-1,12.66
Sweden,Argentina,1719,2113,0.891,1.84,17.8,22.5,59.4,0-1,11.99
Sweden,Australia,1719,1783,1.207,1.358,33.2,26.5,40.2,1-1,12.61
Sweden,Austria,1719,1827,1.159,1.414,30.9,26.3,42.8,1-1,12.51
Sweden,Belgium,1719,1867,1.117,1.467,28.8,26.0,45.1,1-1,12.37
Sweden,Bosnia and Herzegovina,1719,1594,1.436,1.141,43.8,26.2,30.0,1-1,12.45
Sweden,Brazil,1719,1984,1.003,1.634,23.2,24.7,52.0,1-1,11.73
Sweden,Canada,1719,1784,1.206,1.359,33.1,26.5,40.3,1-1,12.61
Sweden,Cape Verde,1719,1549,1.497,1.095,46.4,25.8,27.7,1-1,12.27
Sweden,Colombia,1719,1975,1.012,1.62,23.6,24.8,51.4,1-1,11.79
Sweden,Croatia,1719,1930,1.054,1.555,25.7,25.4,48.8,1-1,12.07
Sweden,Curaçao,1719,1436,1.661,0.987,53.0,24.4,22.4,1-0,11.76
Sweden,Czech Republic,1719,1726,1.272,1.289,36.3,26.6,37.0,1-1,12.66
Sweden,DR Congo,1719,1655,1.358,1.207,40.2,26.5,33.2,1-1,12.61
Sweden,Ecuador,1719,1933,1.051,1.559,25.6,25.3,49.0,1-1,12.05
Sweden,Egypt,1719,1689,1.316,1.245,38.3,26.6,35.0,1-1,12.65
Sweden,England,1719,2020,0.971,1.689,21.6,24.1,54.1,0-1,11.82
Sweden,France,1719,2081,0.918,1.786,19.1,23.1,57.6,0-1,11.96
Sweden,Germany,1719,1923,1.061,1.545,26.1,25.5,48.4,1-1,12.1
Sweden,Ghana,1719,1503,1.562,1.05,49.1,25.3,25.5,1-1,12.04
Sweden,Haiti,1719,1532,1.521,1.078,47.4,25.6,26.9,1-1,12.19
Sweden,Iran,1719,1760,1.233,1.329,34.4,26.6,38.9,1-1,12.64
Sweden,Iraq,1719,1607,1.419,1.155,43.0,26.3,30.6,1-1,12.49
Sweden,Ivory Coast,1719,1676,1.332,1.231,39.1,26.6,34.3,1-1,12.64
Sweden,Japan,1719,1904,1.08,1.518,27.0,25.7,47.3,1-1,12.2
Sweden,Jordan,1719,1690,1.315,1.247,38.3,26.6,35.1,1-1,12.65
Sweden,Mexico,1719,1860,1.124,1.458,29.2,26.1,44.7,1-1,12.39
Sweden,Morocco,1719,1822,1.164,1.407,31.1,26.3,42.5,1-1,12.52
Sweden,Netherlands,1719,1961,1.025,1.599,24.3,25.0,50.6,1-1,11.88
Sweden,New Zealand,1719,1585,1.448,1.132,44.3,26.1,29.5,1-1,12.42
Sweden,Norway,1719,1912,1.072,1.529,26.6,25.6,47.7,1-1,12.16
Sweden,Panama,1719,1737,1.259,1.302,35.7,26.6,37.6,1-1,12.66
Sweden,Paraguay,1719,1833,1.153,1.422,30.5,26.3,43.1,1-1,12.49
Sweden,Portugal,1719,1984,1.003,1.634,23.2,24.7,52.0,1-1,11.73
Sweden,Qatar,1719,1425,1.678,0.977,53.7,24.2,21.9,1-0,11.8
Sweden,Saudi Arabia,1719,1568,1.471,1.114,45.3,26.0,28.7,1-1,12.35
Sweden,Scotland,1719,1767,1.225,1.338,34.0,26.6,39.3,1-1,12.63
Sweden,Senegal,1719,1878,1.106,1.482,28.3,25.9,45.7,1-1,12.32
Sweden,South Africa,1719,1524,1.532,1.07,47.8,25.6,26.5,1-1,12.15
Sweden,South Korea,1719,1752,1.242,1.32,34.8,26.6,38.5,1-1,12.65
Sweden,Spain,1719,2165,0.849,1.93,15.9,21.4,62.4,0-1,11.98
Sweden,Switzerland,1719,1889,1.095,1.497,27.7,25.8,46.4,1-1,12.27
Sweden,Tunisia,1719,1636,1.382,1.186,41.3,26.4,32.2,1-1,12.57
Sweden,Turkey,1719,1902,1.082,1.515,27.1,25.7,47.1,1-1,12.21
Sweden,United States,1719,1721,1.278,1.283,36.5,26.6,36.8,1-1,12.66
Sweden,Uruguay,1719,1892,1.092,1.501,27.6,25.8,46.5,1-1,12.26
Sweden,Uzbekistan,1719,1727,1.271,1.29,36.2,26.6,37.1,1-1,12.66
Switzerland,Algeria,1889,1743,1.464,1.119,45.0,26.0,28.9,1-1,12.37
Switzerland,Argentina,1889,2113,1.042,1.573,25.1,25.2,49.5,1-1,11.99
Switzerland,Australia,1889,1783,1.411,1.161,42.7,26.3,31.0,1-1,12.51
Switzerland,Austria,1889,1827,1.355,1.209,40.1,26.5,33.3,1-1,12.61
Switzerland,Belgium,1889,1867,1.306,1.255,37.9,26.6,35.4,1-1,12.66
Switzerland,Bosnia and Herzegovina,1889,1594,1.679,0.976,53.7,24.2,21.9,1-0,11.8
Switzerland,Brazil,1889,1984,1.173,1.397,31.5,26.4,42.0,1-1,12.54
Switzerland,Canada,1889,1784,1.41,1.162,42.6,26.3,31.0,1-1,12.51
Switzerland,Cape Verde,1889,1549,1.75,0.936,56.3,23.5,20.0,1-0,11.92
Switzerland,Colombia,1889,1975,1.183,1.386,32.0,26.4,41.5,1-1,12.56
Switzerland,Croatia,1889,1930,1.233,1.329,34.4,26.6,38.9,1-1,12.64
Switzerland,Curaçao,1889,1436,1.942,0.844,62.8,21.3,15.6,1-0,11.98
Switzerland,Czech Republic,1889,1726,1.487,1.102,46.0,25.9,28.1,1-1,12.3
Switzerland,DR Congo,1889,1655,1.588,1.032,50.1,25.1,24.6,1-1,11.93
Switzerland,Ecuador,1889,1933,1.229,1.333,34.2,26.6,39.1,1-1,12.64
Switzerland,Egypt,1889,1689,1.539,1.065,48.1,25.5,26.3,1-1,12.13
Switzerland,England,1889,2020,1.135,1.444,29.7,26.1,44.1,1-1,12.43
Switzerland,France,1889,2081,1.073,1.528,26.6,25.6,47.7,1-1,12.17
Switzerland,Germany,1889,1923,1.241,1.321,34.8,26.6,38.5,1-1,12.65
Switzerland,Ghana,1889,1503,1.826,0.898,59.0,22.6,18.1,1-0,11.99
Switzerland,Haiti,1889,1532,1.778,0.922,57.3,23.2,19.3,1-0,11.95
Switzerland,Iran,1889,1760,1.442,1.137,44.0,26.2,29.8,1-1,12.44
Switzerland,Iraq,1889,1607,1.659,0.988,52.9,24.4,22.5,1-0,11.76
Switzerland,Ivory Coast,1889,1676,1.557,1.052,48.9,25.3,25.6,1-1,12.05
Switzerland,Japan,1889,1904,1.263,1.298,35.8,26.6,37.5,1-1,12.66
Switzerland,Jordan,1889,1690,1.537,1.066,48.1,25.5,26.3,1-1,12.13
